timestamp,gpu_utilization,memory_utilization,encoder_utilization,decoder_utilization
2024-08-04 22:15:36,0,0,0,0
2024-08-04 22:15:41,0,0,0,0
2024-08-04 22:15:46,2,1,0,0
2024-08-04 22:15:51,0,0,0,0
2024-08-04 22:15:56,0,0,0,0
2024-08-04 22:16:01,4,1,0,0
2024-08-04 22:16:07,0,0,0,0
2024-08-04 22:16:12,0,0,0,0
2024-08-04 22:16:17,4,1,0,0
2024-08-04 22:16:22,0,0,0,0
2024-08-04 22:16:27,0,0,0,0
2024-08-04 22:16:32,0,0,0,0
2024-08-04 22:16:37,0,0,0,0
2024-08-04 22:16:42,0,0,0,0
2024-08-04 22:16:47,0,0,0,0
2024-08-04 22:16:52,3,1,0,0
2024-08-04 22:16:57,0,0,0,0
2024-08-04 22:17:02,0,0,0,0
2024-08-04 22:17:07,4,1,0,0
2024-08-04 22:17:12,0,0,0,0
2024-08-04 22:17:18,0,0,0,0
2024-08-04 22:17:23,6,1,0,0
2024-08-04 22:17:28,0,0,0,0
2024-08-04 22:17:33,0,0,0,0
2024-08-04 22:17:38,3,1,0,0
2024-08-04 22:17:43,0,0,0,0
2024-08-04 22:17:48,0,0,0,0
2024-08-04 22:17:53,4,1,0,0
2024-08-04 22:17:58,0,0,0,0
2024-08-04 22:18:03,0,0,0,0
2024-08-04 22:18:08,4,1,0,0
2024-08-04 22:18:13,0,0,0,0
2024-08-04 22:18:18,0,0,0,0
2024-08-04 22:18:24,4,1,0,0
2024-08-04 22:18:29,0,0,0,0
2024-08-04 22:18:34,0,0,0,0
2024-08-04 22:18:39,4,1,0,0
2024-08-04 22:18:44,0,0,0,0
2024-08-04 22:18:49,0,0,0,0
2024-08-04 22:18:54,4,1,0,0
2024-08-04 22:18:59,0,0,0,0
2024-08-04 22:19:04,0,0,0,0
2024-08-04 22:19:09,0,0,0,0
2024-08-04 22:19:14,0,0,0,0
2024-08-04 22:19:19,0,0,0,0
2024-08-04 22:19:24,0,0,0,0
2024-08-04 22:19:30,0,0,0,0
2024-08-04 22:19:35,0,0,0,0
2024-08-04 22:19:40,3,1,0,0
2024-08-04 22:19:45,0,0,0,0
2024-08-04 22:19:50,0,0,0,0
2024-08-04 22:19:55,0,0,0,0
2024-08-04 22:20:00,0,0,0,0
2024-08-04 22:20:05,0,0,0,0
2024-08-04 22:20:10,0,0,0,0
2024-08-04 22:20:15,0,0,0,0
2024-08-04 22:20:20,3,1,0,0
2024-08-04 22:20:25,0,0,0,0
2024-08-04 22:20:30,0,0,0,0
2024-08-04 22:20:35,4,1,0,0
2024-08-04 22:20:40,0,0,0,0
2024-08-04 22:20:46,0,0,0,0
2024-08-04 22:20:51,4,1,0,0
2024-08-04 22:20:56,0,0,0,0
2024-08-05 04:33:55,4,1,0,0
2024-08-05 04:33:56,0,0,0,0
2024-08-05 04:33:57,0,0,0,0
2024-08-05 04:33:58,0,0,0,0
2024-08-05 04:33:59,0,0,0,0
2024-08-05 04:34:00,0,0,0,0
2024-08-05 04:34:01,0,0,0,0
2024-08-05 04:34:02,0,0,0,0
2024-08-05 04:34:03,0,0,0,0
2024-08-05 04:34:04,0,0,0,0
2024-08-05 04:34:06,0,0,0,0
2024-08-05 04:34:07,0,0,0,0
2024-08-05 04:34:08,0,0,0,0
2024-08-05 04:34:09,0,0,0,0
2024-08-05 04:34:10,3,1,0,0
2024-08-05 04:34:11,0,0,0,0
2024-08-05 04:34:12,0,0,0,0
2024-08-05 04:34:13,4,1,0,0
2024-08-05 04:34:14,0,0,0,0
2024-08-05 04:34:15,0,0,0,0
2024-08-05 04:34:16,2,1,0,0
2024-08-05 04:34:17,0,0,0,0
2024-08-05 04:34:18,0,0,0,0
2024-08-05 04:34:19,1,0,0,0
2024-08-05 04:34:20,0,0,0,0
2024-08-05 04:34:21,0,0,0,0
2024-08-05 04:34:22,3,1,0,0
2024-08-05 04:34:24,0,0,0,0
2024-08-05 04:34:25,0,0,0,0
2024-08-05 04:34:26,3,1,0,0
2024-08-05 04:34:27,0,0,0,0
2024-08-05 04:34:28,0,0,0,0
2024-08-05 04:34:29,3,1,0,0
2024-08-05 04:34:30,3,1,0,0
2024-08-05 04:34:31,0,0,0,0
2024-08-05 04:34:32,0,0,0,0
2024-08-05 04:34:33,7,1,0,0
2024-08-05 04:34:34,4,0,0,0
2024-08-05 04:34:35,0,0,0,0
2024-08-05 04:34:36,3,1,0,0
2024-08-05 04:34:37,2,0,0,0
2024-08-05 04:34:39,0,0,0,0
2024-08-05 04:34:40,3,1,0,0
2024-08-05 04:34:41,0,0,0,0
2024-08-05 04:34:42,3,1,0,0
2024-08-05 04:34:43,0,0,0,0
2024-08-05 04:34:44,0,0,0,0
2024-08-05 04:34:45,0,0,0,0
2024-08-05 04:34:46,0,0,0,0
2024-08-05 04:34:47,0,0,0,0
2024-08-05 04:34:48,0,0,0,0
2024-08-05 04:34:49,0,0,0,0
2024-08-05 04:34:51,0,0,0,0
2024-08-05 04:34:52,0,0,0,0
2024-08-05 04:34:53,0,0,0,0
2024-08-05 04:34:54,0,0,0,0
2024-08-05 04:34:55,0,0,0,0
2024-08-05 04:34:56,2,1,0,0
2024-08-05 04:34:57,0,0,0,0
2024-08-05 04:34:58,0,0,0,0
2024-08-05 04:34:59,3,1,0,0
2024-08-05 04:35:00,0,0,0,0
