timestamp,gpu_utilization,memory_utilization,encoder_utilization,decoder_utilization
Thu Aug  1 12:19:50 2024,0,0,0,0
Thu Aug  1 12:19:51 2024,0,0,0,0
Thu Aug  1 12:19:52 2024,0,0,0,0
Thu Aug  1 12:19:53 2024,0,0,0,0
Thu Aug  1 12:19:54 2024,0,0,0,0
Thu Aug  1 12:19:55 2024,0,0,0,0
Thu Aug  1 12:19:56 2024,0,0,0,0
Thu Aug  1 12:19:57 2024,0,0,0,0
Thu Aug  1 12:19:58 2024,0,0,0,0
Thu Aug  1 12:19:59 2024,0,0,0,0
Thu Aug  1 12:20:00 2024,0,0,0,0
Thu Aug  1 12:20:01 2024,0,0,0,0
Thu Aug  1 12:20:02 2024,0,0,0,0
Thu Aug  1 12:20:03 2024,0,0,0,0
Thu Aug  1 12:20:04 2024,0,0,0,0
Thu Aug  1 12:20:05 2024,0,0,0,0
Thu Aug  1 12:20:06 2024,0,0,0,0
Thu Aug  1 12:20:07 2024,0,0,0,0
Thu Aug  1 12:20:08 2024,0,0,0,0
Thu Aug  1 12:20:09 2024,0,0,0,0
Thu Aug  1 12:20:10 2024,0,0,0,0
Thu Aug  1 12:20:11 2024,0,0,0,0
Thu Aug  1 12:20:12 2024,0,0,0,0
Thu Aug  1 12:20:13 2024,0,0,0,0
Thu Aug  1 12:20:14 2024,0,0,0,0
Thu Aug  1 12:20:15 2024,0,0,0,0
Thu Aug  1 12:20:16 2024,0,0,0,0
Thu Aug  1 12:20:18 2024,0,0,0,0
Thu Aug  1 12:20:19 2024,0,0,0,0
Thu Aug  1 12:20:20 2024,0,0,0,0
Thu Aug  1 12:20:21 2024,0,0,0,0
Thu Aug  1 12:20:22 2024,0,0,0,0
Thu Aug  1 12:20:23 2024,0,0,0,0
Thu Aug  1 12:20:24 2024,0,0,0,0
Thu Aug  1 12:20:25 2024,0,0,0,0
Thu Aug  1 12:20:26 2024,0,0,0,0
Thu Aug  1 12:20:27 2024,0,0,0,0
Thu Aug  1 12:20:28 2024,0,0,0,0
Thu Aug  1 12:20:29 2024,0,0,0,0
Thu Aug  1 12:20:30 2024,0,0,0,0
Thu Aug  1 12:20:31 2024,0,0,0,0
Thu Aug  1 12:20:32 2024,0,0,0,0
Thu Aug  1 12:20:33 2024,0,0,0,0
Thu Aug  1 12:20:34 2024,0,0,0,0
Thu Aug  1 12:20:35 2024,0,0,0,0
Thu Aug  1 12:20:36 2024,0,0,0,0
Thu Aug  1 12:20:37 2024,0,0,0,0
Thu Aug  1 12:20:38 2024,0,0,0,0
Thu Aug  1 12:20:39 2024,0,0,0,0
Thu Aug  1 12:20:40 2024,0,0,0,0
Thu Aug  1 12:20:41 2024,0,0,0,0
Thu Aug  1 12:20:42 2024,0,0,0,0
Thu Aug  1 12:20:43 2024,0,0,0,0
Thu Aug  1 12:20:44 2024,0,0,0,0
Thu Aug  1 12:20:45 2024,0,0,0,0
Thu Aug  1 12:20:46 2024,0,0,0,0
Thu Aug  1 12:20:47 2024,0,0,0,0
Thu Aug  1 12:20:48 2024,0,0,0,0
Thu Aug  1 12:20:49 2024,0,0,0,0
Thu Aug  1 12:20:50 2024,0,0,0,0
Thu Aug  1 12:20:51 2024,0,0,0,0
Thu Aug  1 12:20:52 2024,0,0,0,0
Thu Aug  1 12:20:53 2024,0,0,0,0
Thu Aug  1 12:20:55 2024,0,0,0,0
Thu Aug  1 12:20:56 2024,0,0,0,0
Thu Aug  1 12:20:57 2024,0,0,0,0
Thu Aug  1 12:20:58 2024,0,0,0,0
Thu Aug  1 12:20:59 2024,0,0,0,0
Thu Aug  1 12:21:00 2024,0,0,0,0
Thu Aug  1 12:21:01 2024,0,0,0,0
Thu Aug  1 12:21:02 2024,0,0,0,0
Thu Aug  1 12:21:03 2024,0,0,0,0
Thu Aug  1 12:21:04 2024,0,0,0,0
Thu Aug  1 12:21:05 2024,0,0,0,0
Thu Aug  1 12:21:06 2024,0,0,0,0
Thu Aug  1 12:21:07 2024,0,0,0,0
Thu Aug  1 12:21:08 2024,0,0,0,0
Thu Aug  1 12:21:09 2024,0,0,0,0
Thu Aug  1 12:21:10 2024,0,0,0,0
Thu Aug  1 12:21:11 2024,5,0,0,0
Thu Aug  1 12:21:12 2024,3,0,0,0
Thu Aug  1 12:21:13 2024,2,0,0,0
Thu Aug  1 12:21:14 2024,72,32,0,0
Thu Aug  1 12:21:15 2024,0,0,0,0
Thu Aug  1 12:21:16 2024,0,0,0,0
Thu Aug  1 12:21:17 2024,0,0,0,0
Thu Aug  1 12:21:18 2024,0,0,0,0
Thu Aug  1 12:21:19 2024,0,0,0,0
Thu Aug  1 12:21:20 2024,0,0,0,0
Thu Aug  1 12:21:21 2024,4,1,0,0
Thu Aug  1 12:21:22 2024,0,0,0,0
Thu Aug  1 12:21:23 2024,0,0,0,0
Thu Aug  1 12:21:24 2024,0,0,0,0
Thu Aug  1 12:21:25 2024,0,0,0,0
Thu Aug  1 12:21:26 2024,0,0,0,0
Thu Aug  1 12:21:27 2024,0,0,0,0
Thu Aug  1 12:21:28 2024,0,0,0,0
Thu Aug  1 12:21:29 2024,0,0,0,0
Thu Aug  1 12:21:31 2024,0,0,0,0
Thu Aug  1 12:21:32 2024,0,0,0,0
Thu Aug  1 12:21:33 2024,0,0,0,0
Thu Aug  1 12:21:34 2024,0,0,0,0
Thu Aug  1 12:21:35 2024,0,0,0,0
Thu Aug  1 12:21:36 2024,0,0,0,0
Thu Aug  1 12:21:37 2024,0,0,0,0
Thu Aug  1 12:21:38 2024,0,0,0,0
Thu Aug  1 12:21:39 2024,0,0,0,0
Thu Aug  1 12:21:40 2024,0,0,0,0
Thu Aug  1 12:21:41 2024,0,0,0,0
Thu Aug  1 12:21:42 2024,0,0,0,0
Thu Aug  1 12:21:43 2024,0,0,0,0
Thu Aug  1 12:21:44 2024,0,0,0,0
Thu Aug  1 12:21:45 2024,0,0,0,0
Thu Aug  1 12:21:46 2024,0,0,0,0
Thu Aug  1 12:21:47 2024,0,0,0,0
Thu Aug  1 12:21:48 2024,0,0,0,0
Thu Aug  1 12:21:49 2024,0,0,0,0
Thu Aug  1 12:21:50 2024,0,0,0,0
Thu Aug  1 12:21:51 2024,0,0,0,0
Thu Aug  1 12:21:52 2024,0,0,0,0
Thu Aug  1 12:21:53 2024,0,0,0,0
Thu Aug  1 12:21:54 2024,0,0,0,0
Thu Aug  1 12:21:55 2024,0,0,0,0
Thu Aug  1 12:21:56 2024,0,0,0,0
Thu Aug  1 12:21:57 2024,0,0,0,0
Thu Aug  1 12:21:58 2024,0,0,0,0
Thu Aug  1 12:21:59 2024,0,0,0,0
Thu Aug  1 12:22:00 2024,0,0,0,0
Thu Aug  1 12:22:01 2024,0,0,0,0
Thu Aug  1 12:22:02 2024,0,0,0,0
Thu Aug  1 12:22:03 2024,0,0,0,0
Thu Aug  1 12:22:04 2024,0,0,0,0
Thu Aug  1 12:22:05 2024,0,0,0,0
Thu Aug  1 12:22:06 2024,0,0,0,0
Thu Aug  1 12:22:08 2024,0,0,0,0
Thu Aug  1 12:22:09 2024,0,0,0,0
Thu Aug  1 12:22:10 2024,0,0,0,0
Thu Aug  1 12:22:11 2024,0,0,0,0
Thu Aug  1 12:22:12 2024,0,0,0,0
Thu Aug  1 12:22:13 2024,0,0,0,0
Thu Aug  1 12:22:14 2024,0,0,0,0
Thu Aug  1 12:22:15 2024,0,0,0,0
Thu Aug  1 12:22:16 2024,0,0,0,0
Thu Aug  1 12:22:17 2024,0,0,0,0
Thu Aug  1 12:22:18 2024,0,0,0,0
Thu Aug  1 12:22:19 2024,0,0,0,0
Thu Aug  1 12:22:20 2024,0,0,0,0
Thu Aug  1 12:22:21 2024,0,0,0,0
Thu Aug  1 12:22:22 2024,0,0,0,0
Thu Aug  1 12:22:23 2024,0,0,0,0
Thu Aug  1 12:22:24 2024,0,0,0,0
Thu Aug  1 12:22:25 2024,0,0,0,0
Thu Aug  1 12:22:26 2024,0,0,0,0
Thu Aug  1 12:22:27 2024,0,0,0,0
Thu Aug  1 12:22:28 2024,0,0,0,0
Thu Aug  1 12:22:29 2024,0,0,0,0
Thu Aug  1 12:22:30 2024,0,0,0,0
